id,node_name_long,node_name,node_folder_id,lat,lng,height_above_ground,height_above_sea,deployed,datetime,PM_ug/m3,PM_ug/m3_QC_level,co_ppm,co_ppm_QC_level,co2_ppm,co2_ppm_QC_level,groups
1,Stone Edge Farms (Vineyard),vineyard,116,38.291,-122.506,,57.940933,2015-02-02,2016-02-13 21:00:00,-999,1,-999,1,-999,1,['Sonoma']
2,Stone Edge Farms (Turbine),turbine,161,38.289,-122.503,,54.551334,2015-02-02,2018-07-31 21:00:00,10.809018757499999,1a,-999,1,408.01804636867274,1a,['Sonoma']
3,Piedmont High School,PHS,983,37.824,-122.233,10.000000,91.290054,2013-05-09,2022-12-06 04:00:00,16.348270049999996,1,-999,1,226.74047990258424,1a,['Alameda']
4,Montclair Elementary School,montclair2,1033,37.831,-122.213,4.000000,185.787262,2013-05-08,2022-12-05 09:00:00,7.512339164999998,1a,-999,1,422.9750123035884,1a,['Alameda']
5,Port of Oakland,port,158,37.796,-122.279,32.000000,3.464535,2013-03-14,2016-12-22 21:00:00,-999,1,-999,1,451.09294535668,1,['Alameda']
7,Skyline High School,skyline,649,37.798,-122.161,3.000000,348.402222,2012-04-06,2019-03-15 17:00:00,-999,1,-999,1,-999,1,['Alameda']
8,Lighthouse Charter School,lighthouse,1034,37.736,-122.196,7.823200,4.043230,2012-12-13,2021-07-20 09:00:00,-999,1,-999,1,-999,1,['Alameda']
9,Berkeley Marina 3,marina,274,37.863,-122.314,2.000000,2.643130,2017-01-26,2017-11-22 04:00:00,12.329636165518693,1a,0.6031657961415156,1a,546.924470230665,1a,['Alameda']
10,Bethel Island,bethel,121,38.006,-121.642,,-1.495771,2016-12-01,2018-09-07 13:00:00,73.2844379,1a,-999,1,-999,1,['ContraCosta']
11,Bay Area Metro Center,Beale Street,998,37.788,-122.392,42.000000,4.921234,2017-06-06,2022-11-01 09:00:00,-999,1,-999,1,-999,1,"['SanFrancisco', ""SF Nodes - Anna's Subnetwork""]"
12,Riverside Elementary School,riverside,94,37.952,-122.327,3.000000,19.189966,2017-06-13,2017-06-13 11:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
13,Richmond High School,richmondhs,1000,37.953,-122.347,,21.040581,2017-06-13,2022-12-06 04:00:00,4.787191319999999,1a,-999,1,419.46693902573304,1a,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
14,Helms Middle School,Helms,1047,37.963,-122.338,,19.189966,2017-06-13,2022-12-06 04:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
15,Ohlone Elementary School,ohlone,1138,38.008,-122.273,,25.881994,2017-06-14,2022-12-05 18:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
16,Ellerhorst Elementary School,ellerhorst,973,37.982,-122.273,,33.978230,2017-06-14,2022-11-16 07:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
17,Stewart Elementary School,stewart,1140,37.990,-122.291,,59.361778,2017-06-14,2022-12-06 04:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
18,Pinole Middle School,pinole,45,37.997,-122.303,7.800000,74.900185,2017-06-14,2017-06-09 08:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
19,Crespi Middle School,crespi,821,37.986,-122.308,,82.265877,2017-06-14,2020-01-17 09:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
20,Nystrom Elementary School,nystrom,978,37.928,-122.359,9.538000,5.776453,2017-06-15,2022-12-06 04:00:00,8.953161594152542,1a,-999,1,493.1095388329972,1a,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
21,Washington Elementary School,washington,1038,37.925,-122.381,5.111000,2.941970,2017-06-15,2022-12-06 04:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
22,Dejean Middle School,dejean,972,37.934,-122.338,5.008000,17.409231,2017-06-15,2022-12-06 04:00:00,16.55369439,1a,0.2084767768834273,1a,448.37925684986084,1a,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
23,Mira Vista Elementary School,miravista,1040,37.941,-122.314,4.010000,100.035240,2017-06-15,2022-12-06 04:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
